crop ID,soil_type,Seedling Stage,MOI,temp,humidity,result
Groundnut,Laterite Soil,Germination,5.0,15.3,79.47,2
Tomato,Red Soil,Seedling Stage,4.0,18.0,86.0,0
Potato,Clay Soil,Seedling Stage,27.0,16.0,88.0,0
Cabbage,Laterite Soil,Germination,5.0,22.77,78.96,2
Potato,Peaty Soil,Pollination,100.0,33.34,57.52,0
Onion,Red Soil,Seedling Stage,99.0,44.0,29.5,1
Wheat,Sandy Soil,Germination,9.0,16.0,88.0,0
Rice,Loamy Soil,Germination,22.51,26.49,85.8,0
Wheat,Black Soil,Flowering,87.61,24.53,83.2,0
Tomato,Black Soil,Vegetative Growth / Root or Tuber Development,46.81,24.59,84.29,1
Carrot,Sandy Soil,Pollination,51.0,31.0,58.0,1
Potato,Clay Soil,Flowering,28.0,32.0,59.0,1
Maize,Red Soil,Harvest,97.0,25.0,77.8,0
Tomato,Loam Soil,Vegetative Growth / Root or Tuber Development,29.0,29.0,64.0,1
Brinjal,Loam Soil,Vegetative Growth / Root or Tuber Development,16.0,17.0,86.4,1
Cabbage,Black Soil,Seedling Stage,94.74,17.66,73.92,0
Wheat,Red Soil,Maturation,96.0,40.0,35.0,0
Potato,Laterite Soil,Flowering,65.41,24.18,80.23,2
Carrot,Black Soil,Seedling Stage,62.83,22.18,87.61,0
Wheat,Laterite Soil,Maturation,59.66,33.45,56.28,1
Carrot,Peaty Soil,Seedling Stage,41.09,38.88,37.28,0
Brinjal,Peaty Soil,Flowering,100.0,36.0,46.91,0
Maize,Sandy Soil,Pollination,48.0,31.0,62.6,2
Groundnut,Clay Soil,Germination,77.0,29.0,72.0,0
Wheat,Silty Soil,Seedling Stage,12.06,18.84,80.07,0
Onion,Loam Soil,Germination,91.0,31.0,58.9,0
Chilli,Black Soil,Flowering,93.0,43.0,26.0,0
Cabbage,Loam Soil,Germination,11.0,19.0,85.2,1
Onion,Red Soil,Seedling Stage,2.0,23.0,73.8,1
Brinjal,Red Soil,Vegetative Growth / Root or Tuber Development,68.0,45.0,20.0,1
Wheat,Loamy Soil,Seedling Stage,67.89,44.21,11.29,0
Wheat,Black Soil,Germination,23.91,23.25,82.95,2
Wheat,Alluvial Soil,Germination,80.0,46.0,17.0,0
Wheat,Black Soil,Fruit/Grain/Bulb Formation,100.0,27.07,69.86,0
Onion,Peaty Soil,Seedling Stage,20.13,22.62,83.52,1
Cabbage,Clay Soil,Germination,59.0,22.0,85.4,0
Onion,Red Soil,Seedling Stage,23.0,30.0,67.6,2
Tomato,Clay Soil,Vegetative Growth / Root or Tuber Development,21.0,13.0,91.0,0
Groundnut,Clay Soil,Vegetative Growth / Root or Tuber Development,62.0,41.0,41.7,1
Rice,Sandy Soil,Flowering,61.0,26.0,73.7,0
Carrot,Loam Soil,Seedling Stage,67.0,27.0,70.0,1
Cabbage,Loamy Soil,Germination,41.16,36.09,43.23,2
Groundnut,Loam Soil,Vegetative Growth / Root or Tuber Development,91.0,34.0,44.2,1
Groundnut,Sandy Soil,Flowering,48.0,18.0,94.7,1
Groundnut,Loam Soil,Pollination,42.0,39.0,24.9,2
Potato,Loam Soil,Flowering,66.0,32.0,59.0,2
Onion,Red Soil,Vegetative Growth / Root or Tuber Development,72.0,34.0,51.8,0
Tomato,Clay Soil,Flowering,38.0,17.0,87.0,0
Wheat,Silty Soil,Seedling Stage,100.0,33.15,62.91,0
Carrot,Clay Soil,Germination,9.0,29.0,64.0,1
Wheat,Silty Soil,Vegetative Growth / Root or Tuber Development,89.21,39.19,49.92,0
Rice,Clay Soil,Vegetative Growth / Root or Tuber Development,27.0,25.0,87.9,0
Cotton,Chalky Soil,Flowering,21.0,40.0,53.5,2
Groundnut,Black Soil,Flowering,14.85,21.22,87.1,1
Cabbage,Sandy Soil,Seedling Stage,24.0,19.0,92.3,1
Wheat,Alluvial Soil,Germination,22.0,32.0,59.0,1
Onion,Laterite Soil,Pollination,25.82,22.43,78.09,1
Maize,Silty Soil,Seedling Stage,44.18,40.9,49.6,2
Carrot,Peaty Soil,Flowering,71.29,43.04,28.29,1
Wheat,Laterite Soil,Vegetative Growth / Root or Tuber Development,59.64,34.2,51.84,2
Wheat,Clay Soil,Harvest,22.0,21.0,83.0,0
Wheat,Red Soil,Harvest,69.0,25.0,80.0,2
Cotton,Silty Soil,Seedling Stage,52.7,29.57,79.66,1
Wheat,Red Soil,Germination,50.0,32.0,61.1,0
Cotton,Silty Soil,Seedling Stage,63.39,30.83,64.38,1
Cabbage,Clay Soil,Germination,11.0,19.0,84.3,1
